id,host_id,host_since,host_is_superhost,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_value,latitude,longitude
31564490,226672831,2018-11-20,True,1,True,Noord-Oost,Entire bungalow,Entire home/apt,1.0,3.0,95.0,3,80,214,2019-02-11,2022-05-31,4.92,4.9,52.4009,4.935
50286442,401208309,2021-05-12,False,8,True,Bijlmer-Centrum,Private room in rental unit,Private room,1.0,2.0,74.0,1,365,5,2021-10-08,2021-11-05,4.0,4.6,52.312,4.947
32741366,143364698,2017-07-30,True,2,True,Noord-Oost,Houseboat,Entire home/apt,1.0,1.0,93.0,2,30,197,2019-04-14,2022-05-29,4.84,4.69,52.4009,4.935
40803385,21597796,2014-09-21,True,1,True,Noord-Oost,Entire guest suite,Entire home/apt,1.0,1.0,80.0,2,1125,89,2020-01-26,2022-06-02,4.92,4.74,52.4009,4.935
36494655,228717213,2018-12-02,True,2,True,Noord-Oost,Entire loft,Entire home/apt,1.0,3.0,120.0,3,30,98,2019-07-14,2022-06-03,4.98,4.91,52.4009,4.935
31527339,5098129,2016-04-04,False,1,True,Noord-Oost,Entire guesthouse,Entire home/apt,1.0,1.0,95.0,2,1125,106,2019-03-10,2022-05-28,4.88,4.72,52.4009,4.935
36381913,81381244,2016-07-03,False,1,True,Buitenveldert - Zuidas,Entire condo,Entire home/apt,2.0,1.0,125.0,3,14,1,2022-05-28,2022-05-28,5.0,5.0,52.333,4.873
40386142,312177024,2019-11-26,False,1,True,Gaasperdam - Driemond,Entire townhouse,Entire home/apt,2.0,4.0,157.0,2,1125,28,2019-12-30,2021-10-18,4.68,4.5,52.3069,4.9881
33092829,212230814,2018-08-28,False,5,True,Buitenveldert - Zuidas,Entire serviced apartment,Entire home/apt,1.0,1.0,199.0,1,365,48,2021-03-08,2022-05-14,4.54,4.44,52.333,4.873
32236607,238083700,2019-01-21,False,3,True,Gaasperdam - Driemond,Entire rental unit,Entire home/apt,1.0,4.0,92.0,2,1125,33,2019-04-22,2022-05-22,4.82,4.73,52.3069,4.9881
33092974,212230814,2018-08-28,False,5,True,Buitenveldert - Zuidas,Entire serviced apartment,Entire home/apt,2.0,4.0,398.0,1,365,50,2019-06-10,2022-05-27,4.62,4.32,52.333,4.873
40906512,261757289,2019-05-14,False,11,True,De Aker - Nieuw Sloten,Room in hotel,Private room,1.0,1.0,169.0,1,1125,116,2020-01-05,2022-05-20,4.37,4.42,52.345,4.805
